Model,Train LogLik,OOS LogLik
静态 C-Vine,240.7933452139684,-0.36504628602421135
C-Vine + FIGAS,266.92136567708894,-765.5488305839116
"C-Vine + GAS(1,1)",253.41105606280973,-830.811754443276
