hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
0.4838046272493573,0.3691516709511568,0.11465295629820052,0.9331619537275064,0.7619537275064268
0.5249357326478149,0.41439588688946016,0.41131105398457585,0.7825192802056555,0.979948586118252
0.04113110539845758,0.867866323907455,0.6467866323907455,0.897172236503856,0.7506426735218509
0.34395886889460153,0.16760925449871467,0.5861182519280206,0.10231362467866324,0.060668380462724936
0.1814910025706941,0.7922879177377892,0.7419023136246786,0.16246786632390744,0.1326478149100257
0.4961439588688946,0.9341902313624678,0.7624678663239075,0.957840616966581,0.40668380462724935
0.35475578406169667,0.09254498714652956,0.5989717223650386,0.012853470437017995,0.238560411311054
0.9748071979434447,0.9609254498714653,0.37275064267352187,0.8354755784061697,0.7079691516709512
0.7922879177377892,0.9516709511568123,0.20565552699228792,0.42159383033419023,0.9290488431876607
0.005141388174807198,0.944987146529563,0.6503856041131105,0.910025706940874,0.05347043701799486
0.9933161953727506,0.9115681233933162,0.8544987146529563,0.8282776349614396,0.9727506426735218
0.7012853470437018,0.9655526992287917,0.20462724935732649,0.7244215938303342,0.6041131105398457
0.5426735218508998,0.5624678663239074,0.7701799485861183,0.4308483290488432,0.14395886889460155
0.8272493573264782,0.842159383033419,0.7197943444730077,0.8534704370179949,0.3444730077120823
0.18431876606683806,0.267866323907455,0.8473007712082262,0.7799485861182519,0.47609254498714654
0.1038560411311054,0.20051413881748073,0.9239074550128534,0.8344473007712082,0.08586118251928021
0.12647814910025706,0.6719794344473008,0.15167095115681234,0.27197943444730077,0.5115681233933161
0.10488431876606684,0.30077120822622105,0.2910025706940874,0.7429305912596401,0.093573264781491
0.0390745501285347,0.4221079691516709,0.6061696658097686,0.5958868894601542,0.867866323907455
0.9624678663239075,0.9722365038560411,0.7367609254498715,0.8616966580976864,0.9691516709511568
0.15732647814910025,0.33367609254498715,0.49203084832904886,0.24627249357326478,0.6848329048843188
0.16015424164524422,0.2565552699228792,0.5974293059125964,0.5285347043701799,0.4287917737789203
0.08174807197943444,0.3562982005141388,0.45141388174807195,0.7305912596401029,0.22570694087403598
0.8251928020565553,0.06632390745501285,0.1928020565552699,0.5701799485861182,0.7979434447300772
0.9218508997429306,0.922879177377892,0.6272493573264781,0.48894601542416455,0.0961439588688946
0.7760925449871465,0.20976863753213368,0.5172236503856041,0.4503856041131105,0.30745501285347043
0.6056555269922879,0.9475578406169666,0.1300771208226221,0.8056555269922879,0.9655526992287917
0.7701799485861183,0.7953727506426735,0.8334190231362468,0.8102827763496144,0.9444730077120823
0.6066838046272494,0.9866323907455012,0.9218508997429306,0.6879177377892031,0.954241645244216
0.9634961439588688,0.8174807197943444,0.6730077120822622,0.5753213367609255,0.4416452442159383
0.5766066838046272,0.7491002570694087,0.645758354755784,0.4951156812339332,0.36246786632390743
0.7753213367609254,0.390745501285347,0.6215938303341902,0.21388174807197943,0.18508997429305912
0.033419023136246784,0.11105398457583547,0.4637532133676093,0.6344473007712083,0.6447300771208226
0.7341902313624679,0.7100257069408741,0.26426735218508995,0.28740359897172235,0.11105398457583547
0.1712082262210797,0.855012853470437,0.28380462724935734,0.7809768637532134,0.40616966580976865
