date,hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
2015-01-06,-0.0057 ,-0.108012754,-0.320704621,0.691027069,0.440219291
2015-01-07,0.0326 ,-0.047445024,-0.025933999,0.323071703,1.30301019
2015-01-08,-1.0194 ,0.560767473,0.124762934,0.559093593,0.419757177
2015-01-09,-0.1533 ,-0.432419119,0.083987546,-0.568461536,-0.969935663
2015-01-12,-0.4077 ,0.40915934,0.193664258,-0.429853845,-0.627413797
2015-01-13,0.0057 ,0.843299913,0.207060869,0.855837404,-0.088564463
2015-01-14,-0.1438 ,-0.697912056,0.092514145,-1.225615468,-0.359283427
2015-01-15,1.2431 ,1.011525025,-0.050619768,0.419801844,0.345395837
2015-01-16,0.3723 ,0.934806783,-0.195338302,-0.059110541,0.886325481
2015-01-20,-2.9527 ,0.902076396,0.127316497,0.593280388,-1.021862935
2015-01-21,1.9097 ,0.707221968,0.30445877,0.40829813,1.205376262
2015-01-22,0.2285 ,1.048619521,-0.197197657,0.24792822,0.192386836
2015-01-23,0.0501 ,0.105973887,0.215490846,-0.048897161,-0.5901527
2015-01-26,0.4387 ,0.498666161,0.178851425,0.452196194,-0.177328213
2015-01-27,-0.3998 ,-0.232659026,0.296811836,0.320716164,0.013122545
2015-01-28,-0.6069 ,-0.353526662,0.429908562,0.417185036,-0.808922809
2015-01-29,-0.5395 ,0.24379336,-0.263179286,-0.216845545,0.061602206
2015-01-30,-0.5954 ,-0.190934283,-0.119372627,0.272995454,-0.784073279
2015-02-02,-1.0292 ,-0.037486432,0.095841192,0.108077286,0.682560456
2015-02-03,1.0679 ,1.100749457,0.190148859,0.466288293,1.180431523
2015-02-04,-0.4531 ,-0.144553507,0.025305408,-0.267092819,0.298229529
2015-02-05,-0.4468 ,-0.255164776,0.092011339,0.048658699,-0.05923707
2015-02-06,-0.7091 ,-0.121807868,0,0.25937028,-0.391277457
2015-02-09,0.4370 ,-0.832344264,-0.210405237,0.089325516,0.522275237
2015-02-10,0.7849 ,0.758835385,0.109159508,0.003467191,-0.77399946
2015-02-11,0.3451 ,-0.33629774,0.038201114,-0.03355002,-0.242945317
2015-02-12,0.1105 ,0.913470804,-0.300057146,0.364315838,1.148784893
2015-02-13,0.3388 ,0.41397579,0.280247796,0.378564356,0.956652791
2015-02-25,0.1113 ,1.476275731,0.416415114,0.204596785,0.996343725
2015-02-26,1.0796 ,0.448829622,0.143899509,0.092452106,-0.042334377
2015-02-27,0.0797 ,0.336992096,0.124220037,0.010617635,-0.149144425
2015-03-02,0.3441 ,-0.078208345,0.104781434,-0.319737489,-0.476000514
2015-03-03,-1.1407 ,-0.60885885,0.007295766,0.145276359,0.240472429
2015-03-04,0.2828 ,0.283307626,-0.144522122,-0.195835358,-0.713554877
2015-03-05,-0.4262 ,0.52469613,-0.128168768,0.322561878,-0.088596178
2015-03-06,-0.2219 ,0.069837836,0.341976394,0.05000599,-0.332397086
2015-03-09,0.7333 ,0.247487979,-0.044975132,-0.600793942,-0.700914868
2015-03-10,-0.2109 ,-0.422750317,-0.067882078,-0.435979613,-0.791379795
2015-03-11,0.0498 ,0.936841312,-0.190502875,-0.280606737,0.547476844
2015-03-12,0.8322 ,-0.045730187,0.183421109,0.406754977,-0.022366264
