Model,LogLik,AIC,BIC
R-vine,622.8684942461689,-1235.7369884923378,-1207.8744735672358
C-vine,622.8684942461689,-1235.7369884923378,-1207.8744735672358
D-vine,622.8684942461689,-1235.7369884923378,-1207.8744735672358
